iter	RMSE
0	1591929.177
1	1536295.697
2	1483014.854
3	1433144.212
4	1385740.598
5	1343429.236
6	1299987.339
7	1259934.313
8	1222124.731
9	1186254.543
10	1152858.351
11	1121717.799
12	1091605.176
13	1064372.322
14	1038061.376
15	1013894.047
16	989917.5321
17	967432.4986
18	947581.5411
19	928151.1792
20	909560.3731
21	892200.2735
22	875461.2005
23	859497.6816
24	845257.4373
25	831815.2417
26	818568.89
27	806580.1934
28	794817.0928
29	782555.1629
30	772856.1949
31	762573.536
32	753165.6476
33	744264.6488
34	735664.2001
35	727796.4755
36	720392.1675
37	712860.9911
38	705666.5522
39	698000.3758
40	691948.9537
41	686042.8742
42	679743.5491
43	673479.5381
44	667484.7135
45	661737.4656
46	656982.4354
47	652429.1098
48	648081.0698
49	644111.6838
50	640495.0361
51	635655.2659
52	630672.0483
53	626404.3765
54	623203.1113
55	620069.3254
56	616276.5105
57	612998.0314
58	610139.3892
59	607079.4162
60	603669.2301
61	600337.2181
62	597617.5537
63	595126.1038
64	592359.5862
65	589746.1186
66	587276.4931
67	585108.5024
68	582551.4189
69	580582.1114
70	577875.8499
71	576270.6985
72	574606.5563
73	572871.2922
74	570612.7736
75	568376.2184
76	566229.3555
77	564940.8452
78	563395.9736
79	561387.9596
80	559286.9829
81	557635.4225
82	555522.8932
83	554116.1632
84	553033.9486
85	551814.9075
86	549741.374
87	548013.4989
88	546423.466
89	544237.8303
90	542602.945
91	541142.9211
92	539549.7466
93	538623.6065
94	537055.6605
95	535845.8984
96	534421.616
97	533085.695
98	532155.5679
99	530822.6075
100	530081.3205
101	529077.2159
102	527948.2249
103	526968.2955
104	525605.0169
105	524656.5076
106	524041.9104
107	522848.2365
108	521815.1879
109	520668.2901
110	519329.8928
111	518366.7321
112	517709.4147
113	516621.5762
114	515471.4591
115	514758.424
116	513612.1693
117	512771.5918
118	511532.6761
119	511030.3115
120	510067.8931
121	509395.4481
122	508155.1846
123	506422.5393
124	505512.0527
125	503616.9891
126	501774.752
127	500930.0487
128	500373.8979
129	499206.748
130	498474.3369
131	497552.1347
132	496777.0828
133	495919.4281
134	494978.6345
135	493585.787
136	492885.6113
137	492053.1494
138	491631.9137
139	490735.3335
140	490028.7223
141	489498.7279
