iter	Passed	Remaining
0	5	5046
1	8	4399
2	12	3995
3	15	3750
4	18	3675
5	21	3625
6	25	3564
7	28	3516
8	31	3466
9	34	3427
10	37	3393
11	40	3370
12	44	3343
13	47	3326
14	50	3306
15	53	3283
16	56	3272
17	59	3260
18	62	3249
19	66	3240
20	69	3232
21	72	3222
22	75	3219
23	79	3212
24	82	3203
25	85	3194
26	88	3190
27	91	3191
28	94	3180
29	98	3180
30	101	3176
31	104	3169
32	107	3163
33	111	3155
34	114	3148
35	117	3140
36	120	3135
37	123	3138
38	127	3134
39	130	3132
40	133	3131
41	137	3125
42	140	3123
43	143	3121
44	146	3116
45	149	3109
46	153	3108
47	156	3103
48	159	3101
49	163	3099
50	166	3095
51	169	3091
52	172	3089
53	176	3087
54	179	3084
55	183	3087
56	186	3085
57	190	3089
58	194	3095
59	197	3094
60	201	3094
61	204	3090
62	207	3088
63	210	3083
64	214	3080
65	217	3076
66	220	3071
67	223	3064
68	226	3059
69	230	3056
70	233	3051
71	236	3045
72	239	3038
73	242	3034
74	245	3028
75	248	3024
76	251	3020
77	255	3016
78	258	3010
79	261	3008
80	264	3004
81	267	2999
82	271	2996
83	274	2993
84	277	2989
85	280	2982
86	283	2979
87	287	2974
88	290	2971
89	293	2967
90	296	2963
91	299	2957
92	302	2954
93	306	2950
94	309	2946
95	312	2942
96	315	2939
97	318	2935
98	321	2929
99	325	2925
100	328	2921
101	331	2917
102	334	2914
103	337	2909
104	340	2905
105	344	2902
106	347	2898
107	350	2893
108	353	2891
109	357	2889
110	360	2885
111	363	2883
112	367	2883
113	371	2883
114	374	2880
115	377	2877
116	380	2874
117	384	2872
118	387	2870
119	391	2867
120	394	2866
121	397	2862
122	401	2860
123	404	2856
124	407	2852
125	410	2850
126	414	2846
127	417	2841
128	420	2836
129	423	2833
130	426	2830
131	429	2826
132	432	2822
133	436	2818
134	439	2813
135	442	2808
136	445	2804
137	448	2802
138	451	2798
139	454	2794
140	458	2792
141	461	2789
142	465	2787
143	468	2783
144	471	2782
145	475	2782
146	479	2782
147	483	2780
148	486	2778
149	490	2777
150	493	2774
151	497	2774
152	500	2773
153	504	2771
154	507	2769
155	511	2767
156	521	2797
157	527	2810
158	533	2822
159	540	2835
160	545	2841
161	548	2839
162	552	2837
163	557	2839
164	561	2839
165	564	2838
166	568	2835
167	571	2830
168	574	2826
169	577	2820
170	580	2814
171	584	2812
172	587	2809
173	591	2808
174	595	2805
175	598	2800
176	601	2795
177	604	2791
178	607	2787
179	610	2781
180	613	2777
181	616	2773
182	620	2768
183	623	2764
184	626	2759
185	629	2754
186	632	2749
187	635	2745
188	638	2741
189	641	2736
190	645	2732
191	648	2728
192	651	2723
193	654	2719
194	657	2715
195	660	2710
196	663	2706
197	666	2701
198	669	2696
199	672	2691
200	676	2687
201	679	2682
202	682	2679
203	685	2675
204	688	2671
205	692	2668
206	695	2664
207	698	2659
208	701	2655
209	704	2650
210	707	2647
211	710	2642
212	714	2638
213	717	2633
214	719	2628
215	723	2625
216	726	2621
217	729	2617
218	732	2612
219	735	2608
220	738	2603
221	741	2599
222	745	2596
223	748	2591
224	751	2587
225	754	2583
226	757	2579
227	760	2575
228	763	2570
229	766	2566
230	769	2562
231	772	2557
232	775	2553
233	778	2549
234	782	2545
235	785	2543
236	789	2542
237	792	2538
238	795	2534
239	798	2529
240	802	2525
241	805	2523
242	808	2519
243	812	2516
244	815	2514
245	819	2512
246	823	2511
247	827	2509
248	831	2506
249	834	2502
250	837	2498
251	840	2494
252	843	2490
253	846	2487
254	849	2483
255	852	2478
256	856	2474
257	859	2471
258	862	2467
259	865	2463
260	868	2459
261	871	2455
262	875	2452
263	878	2447
264	881	2443
265	884	2440
266	887	2437
267	891	2433
268	894	2429
269	897	2426
270	900	2423
271	904	2419
272	907	2416
273	910	2412
274	913	2408
275	916	2405
276	920	2401
277	923	2398
278	926	2394
279	930	2391
280	933	2388
281	936	2384
282	940	2381
283	943	2378
284	946	2375
285	950	2372
286	953	2369
287	957	2367
288	961	2365
289	965	2363
290	969	2361
291	972	2358
292	975	2354
293	979	2350
294	982	2347
295	986	2346
296	990	2343
297	993	2340
298	997	2337
299	1000	2333
300	1003	2330
301	1006	2326
302	1010	2323
303	1013	2319
304	1016	2315
305	1019	2311
306	1022	2308
307	1025	2304
308	1029	2301
309	1032	2297
310	1035	2293
311	1038	2289
312	1041	2286
313	1044	2282
314	1047	2277
315	1050	2273
316	1053	2270
317	1056	2266
318	1060	2263
319	1063	2260
320	1067	2257
321	1070	2253
322	1073	2249
323	1077	2247
324	1080	2243
325	1083	2239
326	1086	2236
327	1089	2232
328	1093	2229
329	1096	2226
330	1099	2223
331	1102	2219
332	1106	2216
333	1109	2212
334	1112	2209
335	1115	2205
336	1118	2201
337	1122	2198
338	1125	2194
339	1128	2191
340	1132	2188
341	1135	2184
342	1138	2181
343	1142	2177
344	1145	2174
345	1148	2170
346	1151	2166
347	1154	2162
348	1157	2158
349	1160	2155
350	1163	2151
351	1166	2148
352	1170	2145
353	1173	2142
354	1176	2138
355	1179	2134
356	1183	2130
357	1186	2127
358	1189	2123
359	1192	2120
360	1196	2117
361	1199	2113
362	1202	2110
363	1207	2108
364	1210	2105
365	1213	2102
366	1216	2098
367	1219	2095
368	1222	2091
369	1226	2087
370	1229	2083
371	1232	2080
372	1235	2076
373	1238	2072
374	1241	2069
375	1244	2065
376	1247	2062
377	1250	2058
378	1254	2055
379	1258	2052
380	1261	2049
381	1265	2046
382	1268	2043
383	1271	2040
384	1275	2037
385	1279	2035
386	1282	2031
387	1286	2029
388	1289	2025
389	1293	2022
390	1296	2019
391	1299	2016
392	1303	2013
393	1307	2010
394	1310	2006
395	1313	2004
396	1317	2001
397	1320	1998
398	1324	1994
399	1327	1991
400	1331	1988
401	1334	1985
402	1338	1982
403	1342	1979
404	1345	1976
405	1348	1973
406	1352	1969
407	1355	1966
408	1358	1963
409	1362	1960
410	1365	1957
411	1369	1953
412	1372	1950
413	1375	1947
414	1379	1944
415	1382	1940
416	1386	1937
417	1389	1934
418	1393	1931
419	1397	1929
420	1400	1926
421	1404	1923
422	1408	1921
423	1412	1918
424	1416	1915
425	1419	1913
426	1423	1909
427	1426	1906
428	1429	1903
429	1433	1900
430	1436	1896
431	1440	1893
432	1444	1891
433	1447	1887
434	1450	1884
435	1454	1881
436	1457	1878
437	1461	1874
438	1464	1871
439	1468	1868
440	1472	1866
441	1475	1862
442	1479	1859
443	1482	1856
444	1486	1853
445	1489	1850
446	1493	1847
447	1496	1843
448	1499	1840
449	1503	1837
450	1506	1833
451	1510	1830
452	1513	1827
453	1516	1824
454	1520	1821
455	1524	1818
456	1527	1814
457	1530	1811
458	1534	1808
459	1537	1805
460	1541	1801
461	1544	1798
462	1548	1795
463	1551	1792
464	1555	1789
465	1558	1786
466	1562	1783
467	1565	1779
468	1569	1776
469	1572	1773
470	1575	1769
471	1579	1766
472	1582	1763
473	1585	1759
474	1589	1756
475	1592	1752
476	1595	1749
477	1598	1746
478	1602	1742
479	1606	1739
480	1609	1736
481	1613	1733
482	1616	1730
483	1620	1727
484	1624	1724
485	1627	1721
486	1631	1718
487	1634	1715
488	1637	1711
489	1641	1708
490	1644	1705
491	1648	1701
492	1651	1698
493	1654	1695
494	1658	1691
495	1661	1688
496	1665	1685
497	1668	1681
498	1671	1678
499	1675	1675
500	1678	1671
501	1681	1668
502	1684	1664
503	1687	1661
504	1691	1657
505	1694	1654
506	1698	1651
507	1701	1647
508	1704	1644
509	1708	1641
510	1711	1638
511	1714	1634
512	1718	1631
513	1721	1627
514	1724	1624
515	1728	1621
516	1731	1617
517	1735	1614
518	1738	1611
519	1742	1608
520	1745	1604
521	1748	1601
522	1752	1598
523	1755	1594
524	1759	1591
525	1762	1588
526	1766	1585
527	1769	1582
528	1773	1578
529	1776	1575
530	1780	1572
531	1783	1569
532	1787	1565
533	1790	1562
534	1794	1559
535	1798	1557
536	1802	1554
537	1806	1551
538	1810	1548
539	1813	1545
540	1817	1541
541	1820	1538
542	1823	1534
543	1826	1531
544	1830	1528
545	1833	1524
546	1837	1521
547	1840	1517
548	1843	1514
549	1846	1510
550	1849	1507
551	1853	1504
552	1856	1500
553	1859	1497
554	1863	1493
555	1866	1490
556	1870	1487
557	1873	1483
558	1876	1480
559	1879	1476
560	1883	1473
561	1886	1470
562	1890	1467
563	1893	1463
564	1896	1460
565	1900	1457
566	1903	1453
567	1906	1450
568	1910	1447
569	1913	1443
570	1917	1440
571	1919	1436
572	1923	1433
573	1926	1429
574	1929	1426
575	1932	1422
576	1935	1419
577	1939	1415
578	1942	1412
579	1945	1408
580	1948	1405
581	1951	1401
582	1955	1398
583	1958	1395
584	1961	1391
585	1964	1388
586	1968	1384
587	1971	1381
588	1974	1377
589	1977	1374
590	1980	1370
591	1983	1367
592	1987	1363
593	1990	1360
594	1993	1356
595	1996	1353
596	1999	1349
597	2003	1346
598	2007	1343
599	2010	1340
600	2013	1336
601	2017	1333
602	2020	1330
603	2023	1326
604	2027	1323
605	2030	1319
606	2033	1316
607	2036	1312
608	2039	1309
609	2042	1305
610	2045	1302
611	2049	1299
612	2052	1295
613	2056	1292
614	2059	1289
615	2063	1286
616	2067	1283
617	2071	1280
618	2074	1276
619	2077	1273
620	2081	1270
621	2084	1266
622	2088	1263
623	2091	1260
624	2095	1257
625	2098	1253
626	2102	1250
627	2106	1247
628	2109	1244
629	2113	1240
630	2116	1237
631	2120	1234
632	2123	1231
633	2127	1228
634	2130	1224
635	2134	1221
636	2137	1218
637	2141	1215
638	2145	1211
639	2148	1208
640	2151	1205
641	2155	1202
642	2159	1198
643	2162	1195
644	2166	1192
645	2169	1188
646	2173	1185
647	2176	1182
648	2180	1179
649	2183	1175
650	2187	1172
651	2191	1169
652	2194	1166
653	2198	1162
654	2202	1159
655	2206	1157
656	2210	1154
657	2214	1151
658	2218	1147
659	2222	1144
660	2226	1141
661	2229	1138
662	2233	1135
663	2237	1132
664	2240	1128
665	2244	1125
666	2247	1122
667	2251	1118
668	2254	1115
669	2257	1112
670	2261	1108
671	2264	1105
672	2268	1102
673	2271	1098
674	2275	1095
675	2279	1092
676	2282	1088
677	2285	1085
678	2289	1082
679	2293	1079
680	2296	1075
681	2300	1072
682	2303	1069
683	2307	1065
684	2310	1062
685	2314	1059
686	2317	1055
687	2321	1052
688	2324	1049
689	2328	1046
690	2331	1042
691	2335	1039
692	2338	1035
693	2342	1032
694	2345	1029
695	2349	1026
696	2353	1022
697	2356	1019
698	2359	1016
699	2363	1012
700	2366	1009
701	2369	1005
702	2372	1002
703	2376	999
704	2379	995
705	2382	992
706	2385	988
707	2388	985
708	2392	981
709	2395	978
710	2398	974
711	2402	971
712	2405	968
713	2409	965
714	2413	962
715	2417	958
716	2420	955
717	2424	952
718	2427	948
719	2430	945
720	2434	941
721	2437	938
722	2441	935
723	2444	931
724	2447	928
725	2451	925
726	2454	921
727	2457	918
728	2461	914
729	2464	911
730	2468	908
731	2472	905
732	2475	901
733	2478	898
734	2482	894
735	2485	891
736	2489	888
737	2492	884
738	2495	881
739	2498	877
740	2502	874
741	2506	871
742	2509	868
743	2512	864
744	2515	861
745	2519	857
746	2523	854
747	2526	851
748	2530	847
749	2533	844
750	2537	841
751	2540	837
752	2544	834
753	2547	831
754	2551	827
755	2554	824
756	2557	821
757	2561	817
758	2564	814
759	2567	810
760	2571	807
761	2574	804
762	2578	800
763	2581	797
764	2584	793
765	2587	790
766	2591	787
767	2594	783
768	2598	780
769	2612	780
770	2616	777
771	2620	773
772	2623	770
773	2646	772
774	2652	770
775	2657	767
776	2662	764
777	2665	760
778	2669	757
779	2673	754
780	2679	751
781	2684	748
782	2688	744
783	2692	741
784	2696	738
785	2699	735
786	2703	731
787	2707	728
788	2710	724
789	2714	721
790	2718	718
791	2722	714
792	2726	711
793	2730	708
794	2734	705
795	2739	702
796	2743	698
